ad_id,campaign_name,clicks,impressions,cost,leads,conversions,conversion_rate,sale_amount,ad_date,location,device,keyword,ctr,roi
A1070,data analytcis course,122.0,4989.0,215.48,12.0,5.0,0.041,1975.0,,hyderabad,mobile,data analitics online,0.024453798356384046,8.165583812882867
A1071,data analytics corse,180.0,3006.0,228.14,22.0,7.0,0.039,1556.0,2024-11-04,hyderabad,tablet,learn data analytics,0.059880239520958084,5.820373454896117
A1072,dataanalyticscourse,133.0,3728.0,199.13,11.0,10.0,0.07518796992481203,,2024-11-09,hyderabad,desktop,data analitics online,0.03567596566523605,
A1073,dataanalyticscourse,164.0,3734.0,225.39,27.0,8.0,0.04,1728.0,,hyderabad,tablet,learn data analytics,0.04392072844134976,6.666711034207375
A1074,data analytics corse,150.0,4621.0,246.3,15.0,6.0,0.049,1554.0,2024-11-09,hyderabad,desktop,data analitics online,0.032460506383899586,5.309378806333739
A1075,data analytcis course,97.0,3212.0,212.55,27.0,10.0,0.103,1994.0,,hyderabad,desktop,analytics for data,0.030199252801992527,8.381322041872501
A1076,data anlytics corse,128.0,4225.0,228.24,30.0,4.0,0.031,1618.0,,hyderbad,mobile,learn data analytics,0.03029585798816568,6.089029092183666
A1077,data analytics corse,99.0,4779.0,233.78,26.0,10.0,0.101,1086.0,2024-11-05,hyderabad,desktop,online data analytic,0.02071563088512241,3.6453931046282833
A1078,data anlytics corse,86.0,5352.0,234.05,11.0,5.0,0.058,1364.0,2024-11-09,hydrebad,tablet,online data analytic,0.016068759342301942,4.827814569536423
A1079,data analytcis course,118.0,5405.0,187.28,25.0,7.0,0.058,1836.0,2024-11-05,hydrebad,tablet,analytics for data,0.02183163737280296,8.8035027765912
A1080,data analytcis course,127.0,5430.0,199.13,14.0,6.0,0.047,1932.0,,hydrebad,mobile,analytics for data,0.023388581952117862,8.702204589966353
A1081,data analytics corse,83.0,4808.0,241.35,20.0,7.0,0.084,1038.0,,hyderbad,mobile,learn data analytics,0.017262895174708817,3.300807955251709
A1082,data analytcis course,149.0,3587.0,217.53,23.0,8.0,0.053691275167785234,,,hydrebad,mobile,data analitics online,0.04153889043769166,
A1083,dataanalyticscourse,168.0,4683.0,215.28,30.0,8.0,0.048,1327.0,,hyderabad,mobile,data analitics online,0.03587443946188341,5.164065403195838
A1084,dataanalyticscourse,112.0,5814.0,227.38,11.0,8.0,0.071,1467.0,2024-11-03,hyderbad,tablet,analytics for data,0.019263845889232887,5.451754771747734
A1085,dataanalyticscourse,123.0,3292.0,233.2,28.0,6.0,0.049,1174.0,2024-11-19,hyderabad,desktop,data anaytics training,0.037363304981773995,4.034305317324185
A1086,data anlytics corse,174.0,4305.0,206.02,20.0,3.0,0.034,1057.0,,hyderabad,desktop,learn data analytics,0.04041811846689895,4.130569847587613
A1087,data analytics corse,143.0,4368.0,,27.0,7.0,0.049,1199.0,,hydrebad,tablet,analytics for data,0.03273809523809524,
A1088,data analytcis course,195.0,5935.0,209.68,23.0,9.0,0.046,1966.0,2024-11-07,hydrebad,tablet,online data analytic,0.03285593934288121,8.376192293017931
A1089,dataanalyticscourse,176.0,5847.0,241.04,13.0,6.0,0.034,1194.0,2024-11-02,hyderabad,desktop,online data analytic,0.030100906447750982,3.9535346830401594
A1090,data anlytics corse,141.0,4851.0,227.39,28.0,5.0,0.03546099290780142,1821.0,,hyderabad,desktop,analytics for data,0.02906617192331478,7.008267733849335
A1091,data analytics corse,108.0,4710.0,204.16,19.0,10.0,0.093,1731.0,,hyderbad,tablet,data analitics online,0.022929936305732482,7.478644200626959
A1092,data anlytics corse,112.0,3345.0,,11.0,6.0,0.047,1859.0,2024-11-23,hyderbad,tablet,analytics for data,0.03348281016442452,
A1093,dataanalyticscourse,,5903.0,184.41,23.0,9.0,,1188.0,,hyderbad,tablet,online data analytic,,5.442166910688141
A1094,data analytcis course,145.0,5004.0,216.45,22.0,5.0,0.034,1496.0,2024-11-01,hydrebad,tablet,data analitics online,0.02897681854516387,5.911526911526912
A1095,data anlytics corse,183.0,3947.0,197.3,15.0,8.0,0.044,1645.0,2024-11-14,hyderbad,desktop,data anaytics training,0.04636432733721814,7.3375570197668525
A1096,dataanalyticscourse,113.0,3690.0,229.42,20.0,5.0,0.044,1915.0,2024-11-28,hyderabad,tablet,learn data analytics,0.03062330623306233,7.347136256647198
A1097,data analytcis course,101.0,5943.0,187.32,27.0,6.0,0.059,1614.0,2024-11-15,hydrebad,tablet,data analitics online,0.016994783779236074,7.616271620755926
A1098,dataanalyticscourse,189.0,5357.0,222.5,24.0,3.0,0.05,1839.0,2024-11-25,hydrebad,tablet,data analytics course,0.03528094082508867,7.265168539325843
A1099,data anlytics corse,154.0,3596.0,236.14,30.0,9.0,0.058,1036.0,,hyderabad,tablet,online data analytic,0.04282536151279199,3.3872279156432628
A1100,data anlytics corse,179.0,5162.0,246.76,16.0,5.0,0.05,1052.0,2024-11-29,hyderbad,desktop,online data analytic,0.03467648198372724,3.263251742583887
A1101,data analytics corse,148.0,3747.0,244.41,18.0,8.0,0.054,1092.0,,hyderabad,tablet,learn data analytics,0.03949826527888978,3.467902295323432
A1102,data anlytics corse,177.0,4822.0,197.03,26.0,9.0,0.051,1909.0,2024-11-04,hyderbad,mobile,online data analytic,0.03670676068021568,8.688879866010252
A1103,data analytcis course,119.0,5800.0,221.36,11.0,8.0,0.06722689075630252,,,hydrebad,desktop,analytics for data,0.020517241379310346,
A1104,data analytcis course,89.0,3594.0,,14.0,6.0,0.067,1026.0,,hyderabad,tablet,data analytics course,0.02476349471341124,
A1105,data analytcis course,146.0,4765.0,230.22,23.0,5.0,0.034,1944.0,,hyderabad,tablet,analytics for data,0.030640083945435468,7.444096950742768
A1106,data analytics corse,109.0,4128.0,183.65,12.0,5.0,0.045871559633027525,,2024-11-30,hyderabad,desktop,data analitics online,0.02640503875968992,
A1107,data anlytics corse,159.0,5127.0,197.16,21.0,4.0,0.025,1867.0,2024-11-03,hyderabad,tablet,learn data analytics,0.0310122878876536,8.469466423209576
A1108,data anlytics corse,144.0,5674.0,235.36,12.0,3.0,0.021,1505.0,2024-11-22,hyderabad,desktop,analytics for data,0.02537892139584068,5.394459551325628
A1109,data anlytics corse,122.0,3793.0,237.22,19.0,8.0,0.066,1842.0,2024-11-20,hyderabad,tablet,online data analytic,0.03216451357764303,6.76494393390102
A1110,data analytics corse,112.0,4315.0,235.33,28.0,9.0,0.08,1116.0,,hyderabad,mobile,data analytics course,0.025955967555040555,3.7422768027875746
A1111,dataanalyticscourse,174.0,4704.0,192.32,21.0,10.0,0.049,1501.0,,hyderabad,mobile,learn data analytics,0.036989795918367346,6.804700499168054
A1112,data analytics corse,168.0,3349.0,235.6,23.0,9.0,0.054,1894.0,2024-11-09,hyderabad,mobile,online data analytic,0.050164228127799346,7.039049235993209
A1113,dataanalyticscourse,173.0,3501.0,223.9,28.0,10.0,0.044,1179.0,,hyderbad,mobile,data analytics course,0.04941445301342474,4.265743635551585
A1114,data analytics corse,91.0,,203.52,,9.0,0.099,1838.0,,hydrebad,desktop,data analytics course,,8.031053459119496
A1115,data analytcis course,140.0,5405.0,195.69,21.0,8.0,0.05714285714285714,1094.0,,hyderabad,desktop,data anaytics training,0.025901942645698426,4.590474730441003
A1116,dataanalyticscourse,93.0,3425.0,229.76,26.0,4.0,0.043,1344.0,,hyderbad,mobile,online data analytic,0.027153284671532846,4.84958217270195
A1117,data analytcis course,114.0,5263.0,189.13,23.0,5.0,0.044,1434.0,,hyderabad,mobile,data analytics course,0.021660649819494584,6.582086395600909
A1118,data anlytics corse,172.0,3889.0,,21.0,10.0,0.05813953488372093,1766.0,2024-11-16,hyderabad,tablet,online data analytic,0.04422730779120596,
A1119,data analytcis course,188.0,3327.0,193.76,24.0,6.0,0.047,1220.0,,hydrebad,tablet,online data analytic,0.05650736399158401,5.29644921552436
A1120,data anlytics corse,117.0,,214.18,29.0,4.0,0.034,1348.0,,hyderabad,mobile,learn data analytics,,5.293771593986366
A1121,dataanalyticscourse,113.0,5471.0,215.57,27.0,9.0,0.038,1123.0,2024-11-23,hyderabad,mobile,analytics for data,0.02065435934929629,4.209444727930603
A1122,data analytics corse,109.0,3550.0,240.33,14.0,8.0,0.073,1982.0,2024-11-24,hyderabad,tablet,learn data analytics,0.030704225352112677,7.246993716972496
A1123,data anlytics corse,174.0,3178.0,225.67,18.0,10.0,0.057,1140.0,,hyderabad,desktop,data analitics online,0.05475141598489616,4.0516240528204905
A1124,dataanalyticscourse,96.0,4673.0,192.88,24.0,5.0,0.052,1962.0,2024-11-10,hyderabad,mobile,learn data analytics,0.020543548041943076,9.17212774782248
A1125,data analytcis course,110.0,4254.0,187.87,11.0,4.0,0.03636363636363636,1172.0,2024-11-04,hyderabad,mobile,data anaytics training,0.025858015984955338,5.23835631021451
A1126,data anlytics corse,163.0,3658.0,237.63,23.0,7.0,0.043,1699.0,2024-11-23,hyderbad,tablet,online data analytic,0.04455986878075451,6.149770651853721
A1127,dataanalyticscourse,161.0,5319.0,235.98,13.0,4.0,0.025,1423.0,2024-11-18,hyderbad,mobile,learn data analytics,0.030268847527730777,5.0301720484786845
A1128,dataanalyticscourse,195.0,5278.0,193.49,30.0,7.0,0.047,1456.0,,hyderabad,mobile,data analytics course,0.03694581280788178,6.524936689234585
A1129,data anlytics corse,84.0,3755.0,218.88,14.0,9.0,0.047,1299.0,,hyderbad,tablet,analytics for data,0.02237017310252996,4.9347587719298245
A1130,data anlytics corse,113.0,4580.0,194.82,11.0,6.0,0.059,1248.0,,hyderbad,tablet,data analytics course,0.024672489082969432,5.405913150600555
A1131,data analytics corse,117.0,3809.0,225.14,12.0,5.0,0.032,1495.0,2024-11-09,hydrebad,desktop,data anaytics training,0.030716723549488054,5.640312694323533
A1132,dataanalyticscourse,135.0,5118.0,219.99,27.0,6.0,0.044,1089.0,2024-11-20,hyderabad,mobile,online data analytic,0.02637749120750293,3.9502250102277374
A1133,data anlytics corse,92.0,5766.0,186.14,28.0,7.0,0.076,1013.0,,hyderabad,tablet,data anaytics training,0.015955601803676726,4.442140324486946
A1134,data analytcis course,188.0,3934.0,206.21,16.0,9.0,0.048,,,hydrebad,desktop,data analytics course,0.04778851042196238,
A1135,data analytcis course,101.0,4724.0,228.38,13.0,7.0,0.034,1243.0,2024-11-20,hyderabad,desktop,learn data analytics,0.021380186282811176,4.442683247219547
A1136,data anlytics corse,111.0,5895.0,205.25,29.0,4.0,0.036,1693.0,2024-11-04,hyderabad,mobile,data analytics course,0.018829516539440202,7.248477466504263
A1137,data analytics corse,122.0,4048.0,202.23,28.0,10.0,0.082,,,hyderabad,mobile,online data analytic,0.030138339920948616,
A1138,data analytcis course,99.0,3169.0,237.68,21.0,6.0,0.06060606060606061,1509.0,2024-11-22,hydrebad,mobile,online data analytic,0.031240138845061535,5.348872433524066
A1139,dataanalyticscourse,154.0,4535.0,229.29,11.0,3.0,0.019,1434.0,,hyderabad,tablet,data anaytics training,0.033958103638368244,5.254088708622269
A1140,data anlytics corse,129.0,3849.0,249.29,22.0,10.0,0.078,1767.0,,hyderabad,desktop,analytics for data,0.03351519875292284,6.088130290023668
A1141,data analytcis course,,4259.0,182.98,10.0,10.0,0.031,1048.0,,hyderabad,mobile,analytics for data,,4.727401901847196
A1142,dataanalyticscourse,143.0,3628.0,,18.0,9.0,0.063,1566.0,,hydrebad,tablet,data analytics course,0.039415656008820285,
A1143,data analytics corse,80.0,3269.0,,12.0,4.0,0.05,1753.0,,hyderbad,desktop,data analitics online,0.024472315692872438,
A1144,data anlytics corse,134.0,3724.0,188.02,26.0,9.0,0.047,1891.0,,hydrebad,desktop,online data analytic,0.0359828141783029,9.057440697798107
A1145,data anlytics corse,174.0,4838.0,242.35,21.0,3.0,0.017,1599.0,2024-11-22,hyderabad,desktop,data analitics online,0.03596527490698636,5.597895605529194
A1146,data analytics corse,196.0,4524.0,192.01,15.0,8.0,0.041,1048.0,2024-11-13,hyderabad,desktop,data analytics course,0.04332449160035367,4.458049059944795
A1147,data analytics corse,194.0,4694.0,228.15,17.0,7.0,0.036,1874.0,2024-11-14,hyderabad,tablet,learn data analytics,0.04132935662547933,7.213894367740521
A1148,data analytics corse,180.0,4326.0,221.67,13.0,,,1427.0,,hyderbad,tablet,online data analytic,0.04160887656033287,5.437497180493526
A1149,data analytcis course,100.0,4235.0,222.61,10.0,8.0,0.051,1814.0,,hyderabad,desktop,data anaytics training,0.023612750885478158,7.14878037823997
A1150,data anlytics corse,153.0,4367.0,184.51,29.0,9.0,0.059,1507.0,2024-11-13,hyderabad,mobile,analytics for data,0.03503549347378063,7.16757899300851
A1151,data anlytics corse,110.0,3748.0,198.68,24.0,9.0,0.082,1041.0,,hyderbad,tablet,data anaytics training,0.02934898612593383,4.239581236158647
A1152,data analytics corse,116.0,3901.0,,21.0,4.0,0.034,1483.0,2024-11-13,hyderabad,tablet,online data analytic,0.029735965137144323,
A1153,data analytics corse,156.0,3335.0,236.98,29.0,7.0,0.045,1143.0,2024-11-14,hyderbad,desktop,data analytics course,0.046776611694152925,3.8231918305342223
A1154,data analytics corse,177.0,5671.0,210.74,19.0,6.0,0.058,1172.0,,hyderabad,tablet,data analytics course,0.031211426556162936,4.561355224447186
A1155,dataanalyticscourse,89.0,3408.0,214.78,25.0,9.0,0.101,1898.0,,hydrebad,mobile,data analytics course,0.026115023474178403,7.836949436632834
A1156,dataanalyticscourse,155.0,4422.0,183.96,14.0,8.0,0.037,1143.0,,hydrebad,mobile,analytics for data,0.03505201266395296,5.2133072407045
A1157,data analytcis course,123.0,3097.0,190.55,20.0,8.0,0.065,1640.0,,hyderbad,tablet,data analytics course,0.03971585405230869,7.606664917344529
A1158,data analytics corse,102.0,3621.0,244.82,10.0,5.0,0.049,1375.0,,hydrebad,mobile,learn data analytics,0.028169014084507043,4.6163712115023285
A1159,data analytics corse,150.0,4806.0,244.53,15.0,9.0,0.06,1602.0,,hydrebad,mobile,data analitics online,0.031210986267166042,5.551343393448657
A1160,data anlytics corse,160.0,,245.87,11.0,6.0,0.037,,2024-11-05,hyderbad,desktop,analytics for data,,
A1161,data anlytics corse,143.0,3901.0,191.38,29.0,4.0,0.053,1786.0,2024-11-24,hyderabad,mobile,learn data analytics,0.036657267367341706,8.332218622635594
A1162,data anlytics corse,178.0,4673.0,222.46,29.0,6.0,0.051,1219.0,,hydrebad,tablet,online data analytic,0.03809116199443612,4.479636788636159
A1163,dataanalyticscourse,152.0,3542.0,208.96,13.0,9.0,0.05921052631578947,1735.0,,hyderbad,desktop,data analytics course,0.04291360813099943,7.30302450229709
A1164,dataanalyticscourse,139.0,4347.0,238.19,26.0,5.0,0.03597122302158273,1384.0,,hydrebad,tablet,analytics for data,0.031976075454336325,4.81048742600445
A1165,data analytcis course,175.0,5014.0,247.24,25.0,7.0,0.04,1499.0,,hydrebad,mobile,learn data analytics,0.03490227363382529,5.062934800194143
A1166,data analytics corse,92.0,4185.0,218.46,21.0,9.0,0.035,1567.0,,hyderbad,mobile,data analitics online,0.02198327359617682,6.172937837590405
A1167,dataanalyticscourse,123.0,5964.0,,17.0,6.0,0.04878048780487805,1363.0,,hydrebad,desktop,data anaytics training,0.02062374245472837,
A1168,data analytcis course,86.0,5124.0,183.71,13.0,10.0,0.116,1137.0,,hyderabad,mobile,data anaytics training,0.01678376268540203,5.189102389635838
A1169,data anlytics corse,117.0,4162.0,238.08,28.0,10.0,0.085,1186.0,,hydrebad,mobile,online data analytic,0.028111484863046612,3.9815188172043006
A1170,data analytcis course,146.0,4330.0,191.9,20.0,3.0,0.021,1748.0,,hyderabad,mobile,online data analytic,0.033718244803695153,8.108910891089108
A1171,data analytcis course,89.0,3268.0,,17.0,4.0,0.045,1233.0,,hyderabad,desktop,online data analytic,0.02723378212974296,
A1172,dataanalyticscourse,195.0,3483.0,213.99,27.0,7.0,0.036,1796.0,,hyderabad,desktop,learn data analytics,0.05598621877691645,7.39291555680172
A1173,data analytcis course,170.0,4519.0,240.63,22.0,7.0,0.041,1012.0,,hyderbad,mobile,analytics for data,0.03761894224385926,3.2056268960644974
A1174,data analytcis course,97.0,3605.0,240.29,21.0,7.0,0.045,1682.0,2024-11-10,hyderabad,desktop,data analitics online,0.026907073509015257,5.999875150859379
A1175,data anlytics corse,159.0,5076.0,204.97,15.0,10.0,0.063,1638.0,,hyderbad,tablet,data analytics course,0.031323877068557916,6.991413377567449
A1176,data anlytics corse,131.0,5352.0,225.86,24.0,10.0,0.07633587786259542,1961.0,2024-11-20,hyderabad,mobile,online data analytic,0.024476831091180866,7.682369609492605
A1177,data analytics corse,108.0,5503.0,185.26,11.0,7.0,0.065,1921.0,,hydrebad,mobile,data analitics online,0.019625658731600944,9.369210838821116
